종목코드,종목명,종가,대비,등락률,시장구분,업종명,시가총액,EPS,BPS,주당배당금,배당수익률,Date,PER,PBR,PCR,PSR
006370,대구백화점,11400,-150,-1.3,KOSPI,유통업,123366365400,,24233,100,0.88,,,0.47,,
000520,삼일제약,9110,-20,-0.22,KOSPI,의약품,123324648130,110,4746,75,0.82,,82.82,1.92,,
013700,까뮤이앤씨,2730,130,5,KOSPI,건설업,123265724400,208,1833,20,0.73,,13.13,1.49,,
004770,써니전자,3530,105,3.07,KOSPI,전기전자,123002888830,170,1832,0,0,,20.76,1.93,,
010600,웰바이오텍,2075,35,1.72,KOSPI,유통업,121755281300,,419,0,0,,,4.95,,
011700,한신기계,3745,-175,-4.46,KOSPI,기계,121510835495,111,2538,35,0.93,,33.74,1.48,,
000500,가온전선,29200,-100,-0.34,KOSPI,전기전자,121482132400,2418,63351,600,2.05,,12.08,0.46,,
001290,상상인증권,1250,-25,-1.96,KOSPI,증권,121336417500,27,1799,0,0,,46.3,0.69,,
009810,엔케이물산,1515,70,4.84,KOSPI,유통업,120350403150,86,783,0,0,,17.62,1.93,,
058850,KTcs,2815,-5,-0.18,KOSPI,서비스업,120158275000,257,3831,80,2.84,,10.95,0.73,,
227840,현대코퍼레이션홀딩스,13200,50,0.38,KOSPI,유통업,120131035200,2063,19321,500,3.79,,6.4,0.68,,
005870,휴니드,8490,50,0.59,KOSPI,전기전자,119844967350,432,8452,0,0,,19.65,1,,
009200,무림페이퍼,2870,-20,-0.69,KOSPI,종이목재,119418719700,,9572,50,1.74,,,0.3,,
100220,비상교육,9170,10,0.11,KOSPI,서비스업,119180114970,,15074,150,1.64,,,0.61,,
163560,동일고무벨트,8560,10,0.12,KOSPI,화학,1.18984e+11,524,14392,100,1.17,,16.34,0.59,,
015590,큐로,514,5,0.98,KOSPI,기계,118842781932,7,473,0,0,,73.43,1.09,,
002600,조흥,198000,0,0,KOSPI,음식료품,1.188e+11,12528,222051,6000,3.03,,15.8,0.89,,
031820,콤텍시스템,978,-4,-0.41,KOSPI,서비스업,118388333748,,1163,0,0,,,0.84,,
012160,영흥,1150,-15,-1.29,KOSPI,철강금속,116506927800,,1582,20,1.74,,,0.73,,
075180,새론오토모티브,6060,0,0,KOSPI,운수장비,1.16352e+11,321,11350,150,2.48,,18.88,0.53,,
090080,평화산업,2115,-80,-3.64,KOSPI,운수장비,116118277785,,465,0,0,,,4.55,,
129260,인터지스,3900,5,0.13,KOSPI,운수창고업,116016708600,180,6245,0,0,,21.67,0.62,,
002360,SH에너지화학,1040,-40,-3.7,KOSPI,화학,115579079200,,808,0,0,,,1.29,,
009320,대우부품,2420,10,0.41,KOSPI,운수장비,115304227500,,733,0,0,,,3.3,,
011330,유니켐,1670,40,2.45,KOSPI,기타제조업,114746272810,162,1423,50,2.99,,10.31,1.17,,
004270,남성,3160,-15,-0.47,KOSPI,유통업,114430425600,,2095,35,1.11,,,1.51,,
378850,화승알앤에이,6000,-170,-2.76,KOSPI,운수장비,113961738000,,,0,0,,,,,
010820,퍼스텍,2365,-10,-0.42,KOSPI,기계,113665352900,151,930,0,0,,15.66,2.54,,
